"Quantity","LCSC Part Number","Value","Footprint","References"
"2","C7603442","1x4 screw plug","","BOM101,BOM102"
"2","C32949","10p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C301,C302"
"2","C1790","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C207,C210"
"12","C28233","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C101,C206,C208,C303,C304,C307,C308,C309,C310,C311,C312,C313"
"1","C28323","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C306"
"5","C440198","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C201,C202,C203,C204,C212"
"2","C45783","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C205,C305"
"2","C16780","47u/6V3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C209,C211"
"5","C8598","B5819W","D_SOD-123","D201,D203,D301,D302,D303"
"1","C2297","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","D202"
"1","C22378353","250mA","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","F201"
"2","C880556","BUS","PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical","J101,J102"
"1","C3975153","Back","PinSocket_2x08_P2.54mm_Vertical_SMD","J103"
"1","C22383836","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7082G","J301"
"2","C5832373","3.3uH","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","L201,L202"
"3","C127687","0R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R205,R209,R212"
"2","C17561","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R307,R308"
"13","C17673","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R201,R202,R203,R204,R301,R302,R303,R304,R305,R306,R309,R310,R312"
"3","C17414","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R207,R208,R210"
"1","C17713","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R206"
"2","C17470","150k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R211,R311"
"2","C2885154","15mm","SW_SPST_15","SW301,SW302"
"1","C2932938","ME3121AM6G","SOT-23-6","U202"
"1","C22462728","MT3406","TSOT-23-5","U201"
"1","C99269","TMP102","SOT-563","U101"
"1","C2687116","USBLC6-2SC6","SOT-23-6","U301"
"1","C609746","XL1050","SOIC-8_3.9x4.9mm_P1.27mm","U303"
"1","C2858491","esp32-C3FH4X","QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm","U302"
"1","C20885029","40MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm","Y301"
